Cerebellar,#ADF1D2
Optic Pathway,#755B69
Thalamus,#97ABB1
Temporal Lobe,#594A26
Infratentorial,#CC7E85
"Optic Pathway,Suprasellar/Hypothalamic/Pituitary",#6B0504
Suprasellar/Hypothalamic/Pituitary,#E6AF2E
"Occipital Lobe,Temporal Lobe",#A3320B
Spinal,#77AF9C
"Parietal Lobe,Temporal Lobe",#457B9D
Cerebellum/Posterior Fossa,#E2B6CF
Cortical,#CAFFB9
Frontal Lobe,#DF57BC
"Frontal Lobe,Parietal Lobe",#BBA0B2
Brain Stem,#468189
Supratentorial,#379634
Ventricles,#8EF9F3
Midline,#F7D002
spinal/posterior fossa/supratentorial,#454E9E
Thalamic/cortical,#BF1A2F
Unavailable,#FFFFFF
